# unicode=16.0.0 clusters=5274
codepoints	group	note
1F469+1F3FC+200D+2696+FE0F	emoji-fully-qualified	woman judge: medium-light skin tone
1F469+1F3FC+200D+2696	emoji-minimally-qualified	woman judge: medium-light skin tone
1F469+1F3FD+200D+2696+FE0F	emoji-fully-qualified	woman judge: medium skin tone
1F469+1F3FD+200D+2696	emoji-minimally-qualified	woman judge: medium skin tone
1F469+1F3FE+200D+2696+FE0F	emoji-fully-qualified	woman judge: medium-dark skin tone
1F469+1F3FE+200D+2696	emoji-minimally-qualified	woman judge: medium-dark skin tone
1F469+1F3FF+200D+2696+FE0F	emoji-fully-qualified	woman judge: dark skin tone
1F469+1F3FF+200D+2696	emoji-minimally-qualified	woman judge: dark skin tone
1F9D1+200D+1F33E	emoji-fully-qualified	farmer
1F9D1+1F3FB+200D+1F33E	emoji-fully-qualified	farmer: light skin tone
1F9D1+1F3FC+200D+1F33E	emoji-fully-qualified	farmer: medium-light skin tone
1F9D1+1F3FD+200D+1F33E	emoji-fully-qualified	farmer: medium skin tone
1F9D1+1F3FE+200D+1F33E	emoji-fully-qualified	farmer: medium-dark skin tone
1F9D1+1F3FF+200D+1F33E	emoji-fully-qualified	farmer: dark skin tone
1F468+200D+1F33E	emoji-fully-qualified	man farmer
1F468+1F3FB+200D+1F33E	emoji-fully-qualified	man farmer: light skin tone
1F468+1F3FC+200D+1F33E	emoji-fully-qualified	man farmer: medium-light skin tone
1F468+1F3FD+200D+1F33E	emoji-fully-qualified	man farmer: medium skin tone
1F468+1F3FE+200D+1F33E	emoji-fully-qualified	man farmer: medium-dark skin tone
1F468+1F3FF+200D+1F33E	emoji-fully-qualified	man farmer: dark skin tone
1F469+200D+1F33E	emoji-fully-qualified	woman farmer
1F469+1F3FB+200D+1F33E	emoji-fully-qualified	woman farmer: light skin tone
1F469+1F3FC+200D+1F33E	emoji-fully-qualified	woman farmer: medium-light skin tone
1F469+1F3FD+200D+1F33E	emoji-fully-qualified	woman farmer: medium skin tone
1F469+1F3FE+200D+1F33E	emoji-fully-qualified	woman farmer: medium-dark skin tone
1F469+1F3FF+200D+1F33E	emoji-fully-qualified	woman farmer: dark skin tone
1F9D1+200D+1F373	emoji-fully-qualified	cook
1F9D1+1F3FB+200D+1F373	emoji-fully-qualified	cook: light skin tone
1F9D1+1F3FC+200D+1F373	emoji-fully-qualified	cook: medium-light skin tone
1F9D1+1F3FD+200D+1F373	emoji-fully-qualified	cook: medium skin tone
1F9D1+1F3FE+200D+1F373	emoji-fully-qualified	cook: medium-dark skin tone
1F9D1+1F3FF+200D+1F373	emoji-fully-qualified	cook: dark skin tone
1F468+200D+1F373	emoji-fully-qualified	man cook
1F468+1F3FB+200D+1F373	emoji-fully-qualified	man cook: light skin tone
1F468+1F3FC+200D+1F373	emoji-fully-qualified	man cook: medium-light skin tone
1F468+1F3FD+200D+1F373	emoji-fully-qualified	man cook: medium skin tone
1F468+1F3FE+200D+1F373	emoji-fully-qualified	man cook: medium-dark skin tone
1F468+1F3FF+200D+1F373	emoji-fully-qualified	man cook: dark skin tone
1F469+200D+1F373	emoji-fully-qualified	woman cook
1F469+1F3FB+200D+1F373	emoji-fully-qualified	woman cook: light skin tone
1F469+1F3FC+200D+1F373	emoji-fully-qualified	woman cook: medium-light skin tone
1F469+1F3FD+200D+1F373	emoji-fully-qualified	woman cook: medium skin tone
1F469+1F3FE+200D+1F373	emoji-fully-qualified	woman cook: medium-dark skin tone
1F469+1F3FF+200D+1F373	emoji-fully-qualified	woman cook: dark skin tone
1F9D1+200D+1F527	emoji-fully-qualified	mechanic
1F9D1+1F3FB+200D+1F527	emoji-fully-qualified	mechanic: light skin tone
1F9D1+1F3FC+200D+1F527	emoji-fully-qualified	mechanic: medium-light skin tone
1F9D1+1F3FD+200D+1F527	emoji-fully-qualified	mechanic: medium skin tone
1F9D1+1F3FE+200D+1F527	emoji-fully-qualified	mechanic: medium-dark skin tone
1F9D1+1F3FF+200D+1F527	emoji-fully-qualified	mechanic: dark skin tone
1F468+200D+1F527	emoji-fully-qualified	man mechanic
1F468+1F3FB+200D+1F527	emoji-fully-qualified	man mechanic: light skin tone
1F468+1F3FC+200D+1F527	emoji-fully-qualified	man mechanic: medium-light skin tone
1F468+1F3FD+200D+1F527	emoji-fully-qualified	man mechanic: medium skin tone
1F468+1F3FE+200D+1F527	emoji-fully-qualified	man mechanic: medium-dark skin tone
1F468+1F3FF+200D+1F527	emoji-fully-qualified	man mechanic: dark skin tone
1F469+200D+1F527	emoji-fully-qualified	woman mechanic
1F469+1F3FB+200D+1F527	emoji-fully-qualified	woman mechanic: light skin tone
1F469+1F3FC+200D+1F527	emoji-fully-qualified	woman mechanic: medium-light skin tone
1F469+1F3FD+200D+1F527	emoji-fully-qualified	woman mechanic: medium skin tone
1F469+1F3FE+200D+1F527	emoji-fully-qualified	woman mechanic: medium-dark skin tone
1F469+1F3FF+200D+1F527	emoji-fully-qualified	woman mechanic: dark skin tone
1F9D1+200D+1F3ED	emoji-fully-qualified	factory worker
1F9D1+1F3FB+200D+1F3ED	emoji-fully-qualified	factory worker: light skin tone
1F9D1+1F3FC+200D+1F3ED	emoji-fully-qualified	factory worker: medium-light skin tone
1F9D1+1F3FD+200D+1F3ED	emoji-fully-qualified	factory worker: medium skin tone
1F9D1+1F3FE+200D+1F3ED	emoji-fully-qualified	factory worker: medium-dark skin tone
1F9D1+1F3FF+200D+1F3ED	emoji-fully-qualified	factory worker: dark skin tone
1F468+200D+1F3ED	emoji-fully-qualified	man factory worker
1F468+1F3FB+200D+1F3ED	emoji-fully-qualified	man factory worker: light skin tone
1F468+1F3FC+200D+1F3ED	emoji-fully-qualified	man factory worker: medium-light skin tone
1F468+1F3FD+200D+1F3ED	emoji-fully-qualified	man factory worker: medium skin tone
1F468+1F3FE+200D+1F3ED	emoji-fully-qualified	man factory worker: medium-dark skin tone
1F468+1F3FF+200D+1F3ED	emoji-fully-qualified	man factory worker: dark skin tone
1F469+200D+1F3ED	emoji-fully-qualified	woman factory worker
1F469+1F3FB+200D+1F3ED	emoji-fully-qualified	woman factory worker: light skin tone
1F469+1F3FC+200D+1F3ED	emoji-fully-qualified	woman factory worker: medium-light skin tone
1F469+1F3FD+200D+1F3ED	emoji-fully-qualified	woman factory worker: medium skin tone
1F469+1F3FE+200D+1F3ED	emoji-fully-qualified	woman factory worker: medium-dark skin tone
1F469+1F3FF+200D+1F3ED	emoji-fully-qualified	woman factory worker: dark skin tone
1F9D1+200D+1F4BC	emoji-fully-qualified	office worker
1F9D1+1F3FB+200D+1F4BC	emoji-fully-qualified	office worker: light skin tone
1F9D1+1F3FC+200D+1F4BC	emoji-fully-qualified	office worker: medium-light skin tone
1F9D1+1F3FD+200D+1F4BC	emoji-fully-qualified	office worker: medium skin tone
1F9D1+1F3FE+200D+1F4BC	emoji-fully-qualified	office worker: medium-dark skin tone
1F9D1+1F3FF+200D+1F4BC	emoji-fully-qualified	office worker: dark skin tone
1F468+200D+1F4BC	emoji-fully-qualified	man office worker
1F468+1F3FB+200D+1F4BC	emoji-fully-qualified	man office worker: light skin tone
1F468+1F3FC+200D+1F4BC	emoji-fully-qualified	man office worker: medium-light skin tone
1F468+1F3FD+200D+1F4BC	emoji-fully-qualified	man office worker: medium skin tone
1F468+1F3FE+200D+1F4BC	emoji-fully-qualified	man office worker: medium-dark skin tone
1F468+1F3FF+200D+1F4BC	emoji-fully-qualified	man office worker: dark skin tone
1F469+200D+1F4BC	emoji-fully-qualified	woman office worker
1F469+1F3FB+200D+1F4BC	emoji-fully-qualified	woman office worker: light skin tone
1F469+1F3FC+200D+1F4BC	emoji-fully-qualified	woman office worker: medium-light skin tone
1F469+1F3FD+200D+1F4BC	emoji-fully-qualified	woman office worker: medium skin tone
1F469+1F3FE+200D+1F4BC	emoji-fully-qualified	woman office worker: medium-dark skin tone
1F469+1F3FF+200D+1F4BC	emoji-fully-qualified	woman office worker: dark skin tone
1F9D1+200D+1F52C	emoji-fully-qualified	scientist
1F9D1+1F3FB+200D+1F52C	emoji-fully-qualified	scientist: light skin tone
1F9D1+1F3FC+200D+1F52C	emoji-fully-qualified	scientist: medium-light skin tone
1F9D1+1F3FD+200D+1F52C	emoji-fully-qualified	scientist: medium skin tone
1F9D1+1F3FE+200D+1F52C	emoji-fully-qualified	scientist: medium-dark skin tone
1F9D1+1F3FF+200D+1F52C	emoji-fully-qualified	scientist: dark skin tone
1F468+200D+1F52C	emoji-fully-qualified	man scientist
1F468+1F3FB+200D+1F52C	emoji-fully-qualified	man scientist: light skin tone
1F468+1F3FC+200D+1F52C	emoji-fully-qualified	man scientist: medium-light skin tone
1F468+1F3FD+200D+1F52C	emoji-fully-qualified	man scientist: medium skin tone
1F468+1F3FE+200D+1F52C	emoji-fully-qualified	man scientist: medium-dark skin tone
1F468+1F3FF+200D+1F52C	emoji-fully-qualified	man scientist: dark skin tone
1F469+200D+1F52C	emoji-fully-qualified	woman scientist
1F469+1F3FB+200D+1F52C	emoji-fully-qualified	woman scientist: light skin tone
1F469+1F3FC+200D+1F52C	emoji-fully-qualified	woman scientist: medium-light skin tone
1F469+1F3FD+200D+1F52C	emoji-fully-qualified	woman scientist: medium skin tone
1F469+1F3FE+200D+1F52C	emoji-fully-qualified	woman scientist: medium-dark skin tone
1F469+1F3FF+200D+1F52C	emoji-fully-qualified	woman scientist: dark skin tone
1F9D1+200D+1F4BB	emoji-fully-qualified	technologist
1F9D1+1F3FB+200D+1F4BB	emoji-fully-qualified	technologist: light skin tone
1F9D1+1F3FC+200D+1F4BB	emoji-fully-qualified	technologist: medium-light skin tone
1F9D1+1F3FD+200D+1F4BB	emoji-fully-qualified	technologist: medium skin tone
1F9D1+1F3FE+200D+1F4BB	emoji-fully-qualified	technologist: medium-dark skin tone
1F9D1+1F3FF+200D+1F4BB	emoji-fully-qualified	technologist: dark skin tone
1F468+200D+1F4BB	emoji-fully-qualified	man technologist
1F468+1F3FB+200D+1F4BB	emoji-fully-qualified	man technologist: light skin tone
1F468+1F3FC+200D+1F4BB	emoji-fully-qualified	man technologist: medium-light skin tone
1F468+1F3FD+200D+1F4BB	emoji-fully-qualified	man technologist: medium skin tone
1F468+1F3FE+200D+1F4BB	emoji-fully-qualified	man technologist: medium-dark skin tone
1F468+1F3FF+200D+1F4BB	emoji-fully-qualified	man technologist: dark skin tone
1F469+1F3FB+200D+1F4BB	emoji-fully-qualified	woman technologist: light skin tone
1F469+1F3FC+200D+1F4BB	emoji-fully-qualified	woman technologist: medium-light skin tone
1F469+1F3FD+200D+1F4BB	emoji-fully-qualified	woman technologist: medium skin tone
1F469+1F3FE+200D+1F4BB	emoji-fully-qualified	woman technologist: medium-dark skin tone
1F9D1+200D+1F3A4	emoji-fully-qualified	singer
1F9D1+1F3FB+200D+1F3A4	emoji-fully-qualified	singer: light skin tone
1F9D1+1F3FC+200D+1F3A4	emoji-fully-qualified	singer: medium-light skin tone
1F9D1+1F3FD+200D+1F3A4	emoji-fully-qualified	singer: medium skin tone
1F9D1+1F3FE+200D+1F3A4	emoji-fully-qualified	singer: medium-dark skin tone
1F9D1+1F3FF+200D+1F3A4	emoji-fully-qualified	singer: dark skin tone
1F468+200D+1F3A4	emoji-fully-qualified	man singer
1F468+1F3FB+200D+1F3A4	emoji-fully-qualified	man singer: light skin tone
1F468+1F3FC+200D+1F3A4	emoji-fully-qualified	man singer: medium-light skin tone
1F468+1F3FD+200D+1F3A4	emoji-fully-qualified	man singer: medium skin tone
1F468+1F3FE+200D+1F3A4	emoji-fully-qualified	man singer: medium-dark skin tone
1F468+1F3FF+200D+1F3A4	emoji-fully-qualified	man singer: dark skin tone
1F469+200D+1F3A4	emoji-fully-qualified	woman singer
1F469+1F3FB+200D+1F3A4	emoji-fully-qualified	woman singer: light skin tone
1F469+1F3FC+200D+1F3A4	emoji-fully-qualified	woman singer: medium-light skin tone
1F469+1F3FD+200D+1F3A4	emoji-fully-qualified	woman singer: medium skin tone
1F469+1F3FE+200D+1F3A4	emoji-fully-qualified	woman singer: medium-dark skin tone
1F469+1F3FF+200D+1F3A4	emoji-fully-qualified	woman singer: dark skin tone
1F9D1+200D+1F3A8	emoji-fully-qualified	artist
1F9D1+1F3FB+200D+1F3A8	emoji-fully-qualified	artist: light skin tone
1F9D1+1F3FC+200D+1F3A8	emoji-fully-qualified	artist: medium-light skin tone
1F9D1+1F3FD+200D+1F3A8	emoji-fully-qualified	artist: medium skin tone
1F9D1+1F3FE+200D+1F3A8	emoji-fully-qualified	artist: medium-dark skin tone
1F9D1+1F3FF+200D+1F3A8	emoji-fully-qualified	artist: dark skin tone
1F468+200D+1F3A8	emoji-fully-qualified	man artist
1F468+1F3FB+200D+1F3A8	emoji-fully-qualified	man artist: light skin tone
1F468+1F3FC+200D+1F3A8	emoji-fully-qualified	man artist: medium-light skin tone
1F468+1F3FD+200D+1F3A8	emoji-fully-qualified	man artist: medium skin tone
1F468+1F3FE+200D+1F3A8	emoji-fully-qualified	man artist: medium-dark skin tone
1F468+1F3FF+200D+1F3A8	emoji-fully-qualified	man artist: dark skin tone
1F469+200D+1F3A8	emoji-fully-qualified	woman artist
1F469+1F3FB+200D+1F3A8	emoji-fully-qualified	woman artist: light skin tone
1F469+1F3FC+200D+1F3A8	emoji-fully-qualified	woman artist: medium-light skin tone
1F469+1F3FD+200D+1F3A8	emoji-fully-qualified	woman artist: medium skin tone
1F469+1F3FE+200D+1F3A8	emoji-fully-qualified	woman artist: medium-dark skin tone
1F469+1F3FF+200D+1F3A8	emoji-fully-qualified	woman artist: dark skin tone
1F9D1+200D+2708+FE0F	emoji-fully-qualified	pilot
1F9D1+200D+2708	emoji-minimally-qualified	pilot
1F9D1+1F3FB+200D+2708+FE0F	emoji-fully-qualified	pilot: light skin tone
1F9D1+1F3FB+200D+2708	emoji-minimally-qualified	pilot: light skin tone
1F9D1+1F3FC+200D+2708+FE0F	emoji-fully-qualified	pilot: medium-light skin tone
1F9D1+1F3FC+200D+2708	emoji-minimally-qualified	pilot: medium-light skin tone
1F9D1+1F3FD+200D+2708+FE0F	emoji-fully-qualified	pilot: medium skin tone
1F9D1+1F3FD+200D+2708	emoji-minimally-qualified	pilot: medium skin tone
1F9D1+1F3FE+200D+2708+FE0F	emoji-fully-qualified	pilot: medium-dark skin tone
1F9D1+1F3FE+200D+2708	emoji-minimally-qualified	pilot: medium-dark skin tone
1F9D1+1F3FF+200D+2708+FE0F	emoji-fully-qualified	pilot: dark skin tone
1F9D1+1F3FF+200D+2708	emoji-minimally-qualified	pilot: dark skin tone
1F468+200D+2708+FE0F	emoji-fully-qualified	man pilot
1F468+200D+2708	emoji-minimally-qualified	man pilot
1F468+1F3FB+200D+2708+FE0F	emoji-fully-qualified	man pilot: light skin tone
1F468+1F3FB+200D+2708	emoji-minimally-qualified	man pilot: light skin tone
1F468+1F3FC+200D+2708+FE0F	emoji-fully-qualified	man pilot: medium-light skin tone
1F468+1F3FC+200D+2708	emoji-minimally-qualified	man pilot: medium-light skin tone
1F468+1F3FD+200D+2708+FE0F	emoji-fully-qualified	man pilot: medium skin tone
1F468+1F3FD+200D+2708	emoji-minimally-qualified	man pilot: medium skin tone
1F468+1F3FE+200D+2708+FE0F	emoji-fully-qualified	man pilot: medium-dark skin tone
1F468+1F3FE+200D+2708	emoji-minimally-qualified	man pilot: medium-dark skin tone
1F468+1F3FF+200D+2708+FE0F	emoji-fully-qualified	man pilot: dark skin tone
1F468+1F3FF+200D+2708	emoji-minimally-qualified	man pilot: dark skin tone
1F469+200D+2708+FE0F	emoji-fully-qualified	woman pilot
1F469+200D+2708	emoji-minimally-qualified	woman pilot
1F469+1F3FB+200D+2708+FE0F	emoji-fully-qualified	woman pilot: light skin tone
1F469+1F3FB+200D+2708	emoji-minimally-qualified	woman pilot: light skin tone
1F469+1F3FC+200D+2708+FE0F	emoji-fully-qualified	woman pilot: medium-light skin tone
1F469+1F3FC+200D+2708	emoji-minimally-qualified	woman pilot: medium-light skin tone
1F469+1F3FD+200D+2708+FE0F	emoji-fully-qualified	woman pilot: medium skin tone
1F469+1F3FD+200D+2708	emoji-minimally-qualified	woman pilot: medium skin tone
1F469+1F3FE+200D+2708+FE0F	emoji-fully-qualified	woman pilot: medium-dark skin tone
1F469+1F3FE+200D+2708	emoji-minimally-qualified	woman pilot: medium-dark skin tone
1F469+1F3FF+200D+2708+FE0F	emoji-fully-qualified	woman pilot: dark skin tone
1F469+1F3FF+200D+2708	emoji-minimally-qualified	woman pilot: dark skin tone
1F9D1+200D+1F680	emoji-fully-qualified	astronaut
1F9D1+1F3FB+200D+1F680	emoji-fully-qualified	astronaut: light skin tone
1F9D1+1F3FC+200D+1F680	emoji-fully-qualified	astronaut: medium-light skin tone
1F9D1+1F3FD+200D+1F680	emoji-fully-qualified	astronaut: medium skin tone
1F9D1+1F3FE+200D+1F680	emoji-fully-qualified	astronaut: medium-dark skin tone
1F9D1+1F3FF+200D+1F680	emoji-fully-qualified	astronaut: dark skin tone
1F468+200D+1F680	emoji-fully-qualified	man astronaut
1F468+1F3FB+200D+1F680	emoji-fully-qualified	man astronaut: light skin tone
1F468+1F3FC+200D+1F680	emoji-fully-qualified	man astronaut: medium-light skin tone
1F468+1F3FD+200D+1F680	emoji-fully-qualified	man astronaut: medium skin tone
1F468+1F3FE+200D+1F680	emoji-fully-qualified	man astronaut: medium-dark skin tone
1F468+1F3FF+200D+1F680	emoji-fully-qualified	man astronaut: dark skin tone
1F469+1F3FB+200D+1F680	emoji-fully-qualified	woman astronaut: light skin tone
1F469+1F3FC+200D+1F680	emoji-fully-qualified	woman astronaut: medium-light skin tone
1F469+1F3FD+200D+1F680	emoji-fully-qualified	woman astronaut: medium skin tone
1F469+1F3FE+200D+1F680	emoji-fully-qualified	woman astronaut: medium-dark skin tone
1F469+1F3FF+200D+1F680	emoji-fully-qualified	woman astronaut: dark skin tone
1F9D1+200D+1F692	emoji-fully-qualified	firefighter
1F9D1+1F3FB+200D+1F692	emoji-fully-qualified	firefighter: light skin tone
1F9D1+1F3FC+200D+1F692	emoji-fully-qualified	firefighter: medium-light skin tone
1F9D1+1F3FD+200D+1F692	emoji-fully-qualified	firefighter: medium skin tone
1F9D1+1F3FE+200D+1F692	emoji-fully-qualified	firefighter: medium-dark skin tone
1F9D1+1F3FF+200D+1F692	emoji-fully-qualified	firefighter: dark skin tone
1F468+200D+1F692	emoji-fully-qualified	man firefighter
1F468+1F3FB+200D+1F692	emoji-fully-qualified	man firefighter: light skin tone
1F468+1F3FC+200D+1F692	emoji-fully-qualified	man firefighter: medium-light skin tone
1F468+1F3FD+200D+1F692	emoji-fully-qualified	man firefighter: medium skin tone
1F468+1F3FE+200D+1F692	emoji-fully-qualified	man firefighter: medium-dark skin tone
1F468+1F3FF+200D+1F692	emoji-fully-qualified	man firefighter: dark skin tone
1F469+200D+1F692	emoji-fully-qualified	woman firefighter
1F469+1F3FB+200D+1F692	emoji-fully-qualified	woman firefighter: light skin tone
1F469+1F3FC+200D+1F692	emoji-fully-qualified	woman firefighter: medium-light skin tone
1F469+1F3FD+200D+1F692	emoji-fully-qualified	woman firefighter: medium skin tone
1F469+1F3FE+200D+1F692	emoji-fully-qualified	woman firefighter: medium-dark skin tone
1F469+1F3FF+200D+1F692	emoji-fully-qualified	woman firefighter: dark skin tone
1F46E	emoji-fully-qualified	police officer
1F46E+1F3FB	emoji-fully-qualified	police officer: light skin tone
1F46E+1F3FC	emoji-fully-qualified	police officer: medium-light skin tone
1F46E+1F3FD	emoji-fully-qualified	police officer: medium skin tone
1F46E+1F3FE	emoji-fully-qualified	police officer: medium-dark skin tone
1F46E+1F3FF	emoji-fully-qualified	police officer: dark skin tone
1F46E+200D+2642+FE0F	emoji-fully-qualified	man police officer
1F46E+200D+2642	emoji-minimally-qualified	man police officer
1F46E+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man police officer: light skin tone
1F46E+1F3FB+200D+2642	emoji-minimally-qualified	man police officer: light skin tone
1F46E+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man police officer: medium-light skin tone
1F46E+1F3FC+200D+2642	emoji-minimally-qualified	man police officer: medium-light skin tone
1F46E+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man police officer: medium skin tone
1F46E+1F3FD+200D+2642	emoji-minimally-qualified	man police officer: medium skin tone
1F46E+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man police officer: medium-dark skin tone
1F46E+1F3FE+200D+2642	emoji-minimally-qualified	man police officer: medium-dark skin tone
1F46E+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man police officer: dark skin tone
1F46E+1F3FF+200D+2642	emoji-minimally-qualified	man police officer: dark skin tone
1F46E+200D+2640+FE0F	emoji-fully-qualified	woman police officer
1F46E+200D+2640	emoji-minimally-qualified	woman police officer
1F46E+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman police officer: light skin tone
1F46E+1F3FB+200D+2640	emoji-minimally-qualified	woman police officer: light skin tone
1F46E+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman police officer: medium-light skin tone
1F46E+1F3FC+200D+2640	emoji-minimally-qualified	woman police officer: medium-light skin tone
1F46E+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman police officer: medium skin tone
1F46E+1F3FD+200D+2640	emoji-minimally-qualified	woman police officer: medium skin tone
1F46E+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman police officer: medium-dark skin tone
1F46E+1F3FE+200D+2640	emoji-minimally-qualified	woman police officer: medium-dark skin tone
1F46E+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman police officer: dark skin tone
1F46E+1F3FF+200D+2640	emoji-minimally-qualified	woman police officer: dark skin tone
1F575+FE0F	emoji-fully-qualified	detective
1F575	emoji-unqualified	detective
1F575+1F3FB	emoji-fully-qualified	detective: light skin tone
1F575+1F3FC	emoji-fully-qualified	detective: medium-light skin tone
1F575+1F3FD	emoji-fully-qualified	detective: medium skin tone
1F575+1F3FE	emoji-fully-qualified	detective: medium-dark skin tone
1F575+1F3FF	emoji-fully-qualified	detective: dark skin tone
1F575+FE0F+200D+2642+FE0F	emoji-fully-qualified	man detective
1F575+200D+2642+FE0F	emoji-unqualified	man detective
1F575+FE0F+200D+2642	emoji-minimally-qualified	man detective
1F575+200D+2642	emoji-unqualified	man detective
1F575+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man detective: light skin tone
1F575+1F3FB+200D+2642	emoji-minimally-qualified	man detective: light skin tone
1F575+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man detective: medium-light skin tone
1F575+1F3FC+200D+2642	emoji-minimally-qualified	man detective: medium-light skin tone
1F575+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man detective: medium skin tone
1F575+1F3FD+200D+2642	emoji-minimally-qualified	man detective: medium skin tone
1F575+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man detective: medium-dark skin tone
1F575+1F3FE+200D+2642	emoji-minimally-qualified	man detective: medium-dark skin tone
1F575+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man detective: dark skin tone
1F575+1F3FF+200D+2642	emoji-minimally-qualified	man detective: dark skin tone
1F575+FE0F+200D+2640+FE0F	emoji-fully-qualified	woman detective
1F575+200D+2640+FE0F	emoji-unqualified	woman detective
1F575+FE0F+200D+2640	emoji-minimally-qualified	woman detective
1F575+200D+2640	emoji-unqualified	woman detective
1F575+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman detective: light skin tone
1F575+1F3FB+200D+2640	emoji-minimally-qualified	woman detective: light skin tone
1F575+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman detective: medium-light skin tone
1F575+1F3FC+200D+2640	emoji-minimally-qualified	woman detective: medium-light skin tone
1F575+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman detective: medium skin tone
1F575+1F3FD+200D+2640	emoji-minimally-qualified	woman detective: medium skin tone
1F575+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman detective: medium-dark skin tone
1F575+1F3FE+200D+2640	emoji-minimally-qualified	woman detective: medium-dark skin tone
1F575+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman detective: dark skin tone
1F575+1F3FF+200D+2640	emoji-minimally-qualified	woman detective: dark skin tone
1F482	emoji-fully-qualified	guard
1F482+1F3FB	emoji-fully-qualified	guard: light skin tone
1F482+1F3FC	emoji-fully-qualified	guard: medium-light skin tone
1F482+1F3FD	emoji-fully-qualified	guard: medium skin tone
1F482+1F3FE	emoji-fully-qualified	guard: medium-dark skin tone
1F482+1F3FF	emoji-fully-qualified	guard: dark skin tone
1F482+200D+2642+FE0F	emoji-fully-qualified	man guard
1F482+200D+2642	emoji-minimally-qualified	man guard
1F482+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man guard: light skin tone
1F482+1F3FB+200D+2642	emoji-minimally-qualified	man guard: light skin tone
1F482+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man guard: medium-light skin tone
1F482+1F3FC+200D+2642	emoji-minimally-qualified	man guard: medium-light skin tone
1F482+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man guard: medium skin tone
1F482+1F3FD+200D+2642	emoji-minimally-qualified	man guard: medium skin tone
1F482+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man guard: medium-dark skin tone
1F482+1F3FE+200D+2642	emoji-minimally-qualified	man guard: medium-dark skin tone
1F482+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man guard: dark skin tone
1F482+1F3FF+200D+2642	emoji-minimally-qualified	man guard: dark skin tone
1F482+200D+2640+FE0F	emoji-fully-qualified	woman guard
1F482+200D+2640	emoji-minimally-qualified	woman guard
1F482+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman guard: light skin tone
1F482+1F3FB+200D+2640	emoji-minimally-qualified	woman guard: light skin tone
1F482+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman guard: medium-light skin tone
1F482+1F3FC+200D+2640	emoji-minimally-qualified	woman guard: medium-light skin tone
1F482+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman guard: medium skin tone
1F482+1F3FD+200D+2640	emoji-minimally-qualified	woman guard: medium skin tone
1F482+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman guard: medium-dark skin tone
1F482+1F3FE+200D+2640	emoji-minimally-qualified	woman guard: medium-dark skin tone
1F482+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman guard: dark skin tone
1F482+1F3FF+200D+2640	emoji-minimally-qualified	woman guard: dark skin tone
1F977	emoji-fully-qualified	ninja
1F977+1F3FB	emoji-fully-qualified	ninja: light skin tone
1F977+1F3FC	emoji-fully-qualified	ninja: medium-light skin tone
1F977+1F3FD	emoji-fully-qualified	ninja: medium skin tone
1F977+1F3FE	emoji-fully-qualified	ninja: medium-dark skin tone
1F977+1F3FF	emoji-fully-qualified	ninja: dark skin tone
1F477	emoji-fully-qualified	construction worker
1F477+1F3FB	emoji-fully-qualified	construction worker: light skin tone
1F477+1F3FC	emoji-fully-qualified	construction worker: medium-light skin tone
1F477+1F3FD	emoji-fully-qualified	construction worker: medium skin tone
1F477+1F3FE	emoji-fully-qualified	construction worker: medium-dark skin tone
1F477+1F3FF	emoji-fully-qualified	construction worker: dark skin tone
1F477+200D+2642+FE0F	emoji-fully-qualified	man construction worker
1F477+200D+2642	emoji-minimally-qualified	man construction worker
1F477+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man construction worker: light skin tone
1F477+1F3FB+200D+2642	emoji-minimally-qualified	man construction worker: light skin tone
1F477+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man construction worker: medium-light skin tone
1F477+1F3FC+200D+2642	emoji-minimally-qualified	man construction worker: medium-light skin tone
